Rk,Player,Sh,SoT,SoT%,Club,ClubCountryCode,ClubContinent
267,Merchas Doski,1,0,0,1.cz Viktoria Plze?,cz,Europe
268,David Doud?ra,4,0,0,1.cz Slavia Prague,cz,Europe
269,Dsir Dou,13,8,61.5,1.fr PSG,fr,Europe
270,Gula Dou,1,0,0,1.fr Strasbourg,fr,Europe
271,Deroy Duarte,3,2,66.7,1.bg Ludogorets,bg,Europe
272,Laros Duarte,3,3,100,1.hu Pusk s Akad.,hu,Europe
273,Denzel Dumfries,5,2,40,1.it Inter,it,Europe
274,Jean-Kevin Duverne,1,0,0,1.be Gent,be,Europe
275,Lyndon Dykes,1,0,0,2.eng Charlton Athletic,eng,Europe
276,Edin D?eko,3,0,0,2.de Schalke 04,de,Europe
277,Roshon van Eijma,0,0,,2.nl RKC Waalwijk,nl,Europe
278,Anthony Elanga,3,3,100,1.eng Newcastle,eng,Europe
279,Meschak Elia,2,1,50,1.tr Alanyaspor,tr,Europe
280,Callan Elliot,0,0,,1.au Auckland FC,au,Non-Europe
281,Eren Elmal?,0,0,,1.tr Galatasaray,tr,Europe
282,Nico Elvedi,3,0,0,1.de Gladbach,de,Europe
283,Breel Embolo,10,5,50,1.fr Rennes,fr,Europe
284,Julio Enciso,8,1,12.5,1.fr Strasbourg,fr,Europe
285,Endrick,3,0,0,1.fr Lyon,fr,Europe
286,Sherzod Esanov,0,0,,1.uz FK Bukhara Nurafshon,uz,Non-Europe
287,Fidel Escobar,0,0,,1.cr Saprissa,cr,Non-Europe
288,Pervis Estupi¤ n,0,0,,1.it Milan,it,Europe
289,Derrick Etienne,0,0,,1.us Toronto FC,us,Non-Europe
290,Stephen Eust quio,4,1,25,1.pt Porto,pt,Europe
291,Martin Exprience,1,0,0,2.fr Nancy,fr,Europe
292,Saeid Ezatolahi,6,2,33.3,1.ae Al-Ahli Dubai FC,ae,Non-Europe
293,Eberechi Eze,5,0,0,1.eng Arsenal,eng,Europe
294,Fabinho,1,0,0,1.sa Al-Ittihad,sa,Non-Europe
295,Jos Fajardo,1,0,0,1.ec Univ Cat¢lica,ec,Non-Europe
296,Odeh Al-Fakhouri,2,1,50,1.eg Pyramids FC,eg,Non-Europe
297,Henrik Falchener,0,0,,1.no Viking,no,Europe
298,Marko Farji,0,0,,2.it Venezia,it,Europe
299,Christian Fassnacht,0,0,,1.ch Young Boys,ch,Europe
300,Abdul Fatawu Issahaku,3,0,0,2.eng Leicester City,eng,Europe
301,Ahmed Fathy,0,0,,1.qa Al-Arabi,qa,Non-Europe
302,Hamdy Fathy,0,0,,1.qa Al-Wakrah,qa,Non-Europe
303,Ahmed Fatouh,1,1,100,1.eg Zamalek SC,eg,Non-Europe
304,Abbosbek Fayzullayev,3,2,66.7,1.tr Ba?ak?ehir,tr,Europe
305,Jo?o Flix,6,1,16.7,1.sa Al-Nassr,sa,Non-Europe
306,Lewis Ferguson,2,1,50,1.it Bologna,it,Europe
307,Bruno Fernandes,9,3,33.3,1.eng Manchester Utd,eng,Europe
308,Enzo Fern ndez,12,4,33.3,1.eng Chelsea,eng,Europe
309,Matias Fernandez-Pardo,3,0,0,1.fr Lille,fr,Europe
