Rk,Player,Sh,SoT,SoT%,Club,ClubCountryCode,ClubContinent
569,Omar Marmoush,11,1,9.1,1.eng Manchester City,eng,Europe
575,Lautaro MartÂ¡nez,10,4,40.0,1.it Inter,it,Europe
576,Lisandro MartÂ¡nez,4,2,50.0,1.eng Manchester Utd,eng,Europe
577,Thapelo Maseko,8,1,12.5,1.cy AEL Limassol,cy,Europe
578,Hazem Mastouri,3,2,66.7,1.ru D. Makhachkala,ru,Europe
580,Igor Matanovi?,4,2,50.0,1.de Freiburg,de,Europe
581,Pape Matar Sarr,4,0,0.0,1.eng Tottenham,eng,Europe
582,Jean-Philippe Mateta,3,1,33.3,1.eng Crystal Palace,eng,Europe
583,Mauricio,4,3,75.0,1.br Palmeiras,br,Non-Europe
584,Fiston Mayele,5,1,20.0,1.eg Pyramids FC,eg,Non-Europe
585,Ibrahim Maza,11,3,27.3,1.de Leverkusen,de,Europe
587,Kylian MbappÂ,41,23,56.1,1.es Real Madrid,es,Europe
588,Thalente Mbatha,4,1,25.0,1.za Orlando Pirates,za,Non-Europe
589,Ibrahim Mbaye,4,1,25.0,1.fr PSG,fr,Europe
591,Mbekezeli Mbokazi,4,1,25.0,1.us Chicago Fire,us,Non-Europe
592,NathanaÂl Mbuku,3,2,66.7,2.fr Montpellier,fr,Europe
593,Callum McCowatt,4,3,75.0,1.dk Silkeborg,dk,Europe
594,John McGinn,3,1,33.3,1.eng Aston Villa,eng,Europe
596,Weston McKennie,5,1,20.0,1.it Juventus,it,Europe
599,Scott McTominay,8,3,37.5,1.it Napoli,it,Europe
600,Brandon Mechele,5,1,20.0,1.be Club Brugge,be,Europe
603,Hannibal Mejbri,3,1,33.3,1.eng Burnley,eng,Europe
604,Amar Memi?,3,1,33.3,1.cz Viktoria Plze?,cz,Europe
608,Nuno Mendes,3,1,33.3,1.fr PSG,fr,Europe
609,Ryan Mendes,6,0,0.0,2.tr 76 I?d?r Belediyespor,tr,Europe
612,Mikel Merino,5,3,60.0,1.eng Arsenal,eng,Europe
613,Lionel Messi,35,18,51.4,1.us Inter Miami,us,Non-Europe
614,Connor Metcalfe,5,2,40.0,1.de St Pauli,de,Europe
620,Aubrey Modiba,5,1,20.0,1.za Sundowns,za,Non-Europe
622,Relebohile Mofokeng,3,1,33.3,1.za Orlando Pirates,za,Non-Europe
623,Shahriar Moghanlou,3,0,0.0,1.ae Al-Ittihad Kalba,ae,Non-Europe
626,Johan Mojica,3,2,66.7,1.es Mallorca,es,Europe
627,Teboho Mokoena,4,2,50.0,1.za Sundowns,za,Non-Europe
629,Jamiro Monteiro,5,1,20.0,1.nl Zwolle,nl,Europe
633,Gilberto Mora,5,0,0.0,1.mx Tijuana,mx,Non-Europe
639,Samuel Moutoussamy,3,0,0.0,1.gr Atromitos,gr,Europe
646,Mert MÂldÂr,3,0,0.0,1.tr FenerbahÂe,tr,Europe
647,Daniel MuÂ¤oz,3,2,66.7,1.eng Crystal Palace,eng,Europe
649,Jamal Musiala,6,1,16.7,1.de Bayern Munich,de,Europe
654,Keito Nakamura,5,2,40.0,2.fr Reims,fr,Europe
658,Iliman Ndiaye,3,2,66.7,1.eng Everton,eng,Europe
659,Dan Ndoye,16,8,50.0,1.eng Nottingham,eng,Europe
665,Jo?o Neves,3,1,33.3,1.fr PSG,fr,Europe
667,Neymar,3,2,66.7,1.br Santos,br,Non-Europe
671,Felix Nmecha,8,3,37.5,1.de Dortmund,de,Europe
677,Antonio Nusa,6,2,33.3,1.de RB Leipzig,de,Europe
681,Nico O'Reilly,7,1,14.3,1.eng Manchester City,eng,Europe
685,K?ki Ogawa,3,0,0.0,1.nl NEC Nijmegen,nl,Europe
691,Michael Olise,20,5,25.0,1.de Bayern Munich,de,Europe
693,Dani Olmo,13,2,15.4,1.es Barcelona,es,Europe
694,Tani Oluwaseyi,8,4,50.0,1.es Villarreal,es,Europe
695,Ali Olwan,6,3,50.0,1.qa Al-Sailiya SC,qa,Non-Europe
704,Azzedine Ounahi,5,3,60.0,1.es Girona,es,Europe
707,Mikel Oyarzabal,23,12,52.2,1.es Real Sociedad,es,Europe
712,Lucas PaquetÂ ,5,1,20.0,1.br Flamengo,br,Non-Europe
713,Leandro Paredes,4,1,25.0,1.ar Boca Juniors,ar,Non-Europe
715,Marco Pa?ali?,3,2,66.7,1.us Orlando City,us,Non-Europe
716,Mario Pa?ali?,4,1,25.0,1.it Atalanta,it,Europe
719,Aleksandar Pavlovic,4,1,25.0,1.de Bayern Munich,de,Europe
723,Pedri,5,2,40.0,1.es Barcelona,es,Europe
724,Nicolas PÂpÂ,6,3,50.0,1.es Villarreal,es,Europe
725,Ricardo Pepi,5,0,0.0,1.nl PSV,nl,Europe
732,Frantzdy Pierrot,3,1,33.3,1.tr Rizespor,tr,Europe
733,Kevin Pina,5,1,20.0,1.ru Krasnodar,ru,Europe
739,Gonzalo Plata,8,5,62.5,1.br Flamengo,br,Non-Europe
742,Pedro Porro,7,3,42.9,1.eng Tottenham,eng,Europe
743,Stefan Posch,3,0,0.0,1.de Mainz 05,de,Europe
746,Ruben Providence,4,1,25.0,2.nl Almere City,nl,Europe
749,Gustavo Puerta,14,5,35.7,2.es Racing Sant,es,Europe
750,Christian Pulisic,4,2,50.0,1.it Milan,it,Europe
753,JuliÂ n QuiÂ¤ones,14,6,42.9,1.sa Al-Qadsiah,sa,Non-Europe
755,Juan Quintero,4,0,0.0,1.ar River Plate,ar,Non-Europe
757,Adrien Rabiot,9,1,11.1,1.it Milan,it,Europe
759,Soufiane Rahimi,6,4,66.7,1.ae Al Ain,ae,Non-Europe
766,Raphinha,3,2,66.7,1.es Barcelona,es,Europe
768,Marcus Rashford,12,5,41.7,1.es Barcelona,es,Europe
772,Rayan,5,2,40.0,1.eng Bournemouth,eng,Europe
775,Tijjani Reijnders,4,2,50.0,1.eng Manchester City,eng,Europe
779,Ramin Rezaeian,4,2,50.0,1.ir Foolad,ir,Non-Europe
781,Declan Rice,6,3,50.0,1.eng Arsenal,eng,Europe
783,Fabian Rieder,7,2,28.6,1.de Augsburg,de,Europe
784,Richard RÂ¡os,5,1,20.0,1.pt Benfica,pt,Europe
785,RÂ¢-RÂ¢,3,1,33.3,1.qa Al Sadd,qa,Non-Europe
790,Rodri,7,0,0.0,1.eng Manchester City,eng,Europe
792,Brian RodrÂ¡guez,3,1,33.3,1.mx AmÂrica,mx,Non-Europe
793,James RodrÂ¡guez,6,3,50.0,1.us Minnesota Utd,us,Non-Europe
794,Kevin RodrÂ¡guez,6,1,16.7,1.be Union SG,be,Europe
798,Morgan Rogers,3,1,33.3,1.eng Aston Villa,eng,Europe
799,Cristian Romero,3,1,33.3,1.eng Tottenham,eng,Europe
800,Luis Romo,3,1,33.3,1.mx Guadalajara,mx,Non-Europe
801,Cristiano Ronaldo,18,9,50.0,1.sa Al-Nassr,sa,Non-Europe
806,FabiÂ n Ruiz PeÂ¤a,8,2,25.0,1.fr PSG,fr,Europe
812,Mahmoud Saber,3,1,33.3,1.eg ZED,eg,Non-Europe
813,Marcel Sabitzer,5,2,40.0,1.de Dortmund,de,Europe
815,Michal SadÂ¡lek,7,3,42.9,1.cz Slavia Prague,cz,Europe
816,Alexis Saelemaekers,4,1,25.0,1.it Milan,it,Europe
817,Ismael Saibari,10,3,30.0,1.nl PSV,nl,Europe
818,Bukayo Saka,13,7,53.8,1.eng Arsenal,eng,Europe
819,Mohamed Salah,9,4,44.4,1.eng Liverpool,eng,Europe
821,Nathan Saliba,3,1,33.3,1.be Anderlecht,be,Europe
825,Davinson SÂ nchez,6,2,33.3,1.tr Galatasaray,tr,Europe
828,Leroy SanÂ,6,2,33.3,1.tr Galatasaray,tr,Europe
834,Ismaila Sarr,17,6,35.3,1.eng Crystal Palace,eng,Europe
839,Andreas Schjelderup,3,2,66.7,1.pt Benfica,pt,Europe
847,Nicolas Seiwald,3,0,0.0,1.de RB Leipzig,de,Europe
852,Willy Semedo,3,0,0.0,1.cy AC Omonia,cy,Europe
853,Antoine Semenyo,6,0,0.0,1.eng Manchester City,eng,Europe
861,Jacob Shaffelburg,3,0,0.0,1.us LAFC,us,Non-Europe
863,Lawrence Shankland,4,0,0.0,1.sct Hearts,sct,Europe
868,Eldor Shomurodov,4,2,50.0,1.tr Ba?ak?ehir,tr,Europe
878,Sarpreet Singh,4,2,50.0,1.au Wellington,au,Non-Europe
889,Marko Stamenic,3,0,0.0,2.eng Swansea City,eng,Europe
897,Luis SuÂ rez,9,0,0.0,1.pt Sporting CP,pt,Europe
899,Petar Su?i?,3,2,66.7,1.it Inter,it,Europe
911,Mattias Svanberg,3,2,66.7,1.de Wolfsburg,de,Europe
913,Alexander S?rloth,5,0,0.0,1.es AtlÂtico Madrid,es,Europe
914,Musa Al-Taamari,8,3,37.5,1.fr Rennes,fr,Europe
926,Mehdi Taremi,5,2,40.0,1.gr Olympiacos,gr,Europe
927,AurÂlien TchouamÂni,3,0,0.0,1.es Real Madrid,es,Europe
928,Arthur Theate,5,1,20.0,1.de Frankfurt,de,Europe
934,Kristian Thorstvedt,3,1,33.3,1.it Sassuolo,it,Europe
936,Youri Tielemans,11,3,27.3,1.eng Aston Villa,eng,Europe
939,Malik Tillman,8,4,50.0,1.de Leverkusen,de,Europe
945,Ferran Torres,14,4,28.6,1.es Barcelona,es,Europe
948,Mo TourÂ,4,1,25.0,2.eng Norwich City,eng,Europe
950,TrÂzÂguet,8,3,37.5,1.eg Al Ahly,eg,Non-Europe
952,Leandro Trossard,17,3,17.6,1.eng Arsenal,eng,Europe
953,Auston Trusty,3,2,66.7,1.sct Celtic,sct,Europe
956,Ayase Ueda,9,4,44.4,1.nl Feyenoord,nl,Europe
957,Manuel Ugarte,3,1,33.3,1.eng Manchester Utd,eng,Europe
958,Deniz Undav,6,4,66.7,1.de Stuttgart,de,Europe
959,Dayot Upamecano,4,2,50.0,1.de Bayern Munich,de,Europe
962,Can Uzun,4,1,25.0,1.de Frankfurt,de,Europe
963,Enner Valencia,10,6,60.0,1.mx Pachuca,mx,Non-Europe
965,Federico Valverde,10,2,20.0,1.es Real Madrid,es,Europe
967,Hans Vanaken,5,1,20.0,1.be Club Brugge,be,Europe
969,HÂlio Varela,3,1,33.3,1.il Maccabi Tel Aviv,il,Europe
972,Ruben Vargas,6,4,66.7,1.es Sevilla,es,Europe
979,Micky van de Ven,3,1,33.3,1.eng Tottenham,eng,Europe
982,Federico ViÂ¤as,6,3,50.0,1.es Oviedo,es,Europe
983,Denis Vi?insk?,3,0,0.0,1.cz Viktoria Plze?,cz,Europe
984,Pedro Vite,4,1,25.0,1.mx UNAM,mx,Non-Europe
985,Vitinha,4,0,0.0,1.fr PSG,fr,Europe
986,Nikola Vla?i?,3,1,33.3,1.it Torino,it,Europe
987,Cristian Volpato,4,1,25.0,1.it Sassuolo,it,Europe
991,Elye Wahi,3,2,66.7,1.fr Nice,fr,Europe
1001,IÂ¤aki Williams,3,0,0.0,1.es Athletic Club,es,Europe
1002,Nico Williams,4,2,50.0,1.es Athletic Club,es,Europe
1005,Florian Wirtz,10,1,10.0,1.eng Liverpool,eng,Europe
1006,Yoane Wissa,11,3,27.3,1.eng Newcastle,eng,Europe
1009,Chris Wood,5,2,40.0,1.eng Nottingham,eng,Europe
1011,Granit Xhaka,9,2,22.2,1.eng Sunderland,eng,Europe
1013,Lamine Yamal,27,12,44.4,1.es Barcelona,es,Europe
1016,John Yeboah,8,3,37.5,2.it Venezia,it,Europe
1018,Kenan Y?ld?z,14,1,7.1,1.it Juventus,it,Europe
1024,?smail YÂksek,5,0,0.0,1.tr FenerbahÂe,tr,Europe
1027,Denis Zakaria,5,2,40.0,1.fr Monaco,fr,Europe
1033,Mostafa Ziko,8,3,37.5,1.eg Pyramids FC,eg,Non-Europe
1035,Zizo,3,1,33.3,1.eg Al Ahly,eg,Non-Europe
1038,Martin ?degaard,9,3,33.3,1.eng Arsenal,eng,Europe
1039,Leo ?stigÂrd,3,1,33.3,1.it Genoa,it,Europe
