Rk,Player,Club,MP,Min,MinPerMatch
278,Musab Al Juwayr,1.sa Al-Qadsiah,3.0,152.0,50.666666666666664
280,Mohamed Kanno,1.sa Al-Hilal,3.0,225.0,75.0
282,Abdullah Al-Khaibari,1.sa Al-Nassr,3.0,180.0,60.0
283,Ali Lajami,1.sa Al-Hilal,3.0,149.0,49.666666666666664
285,Sultan Mendash,1.sa Al-Hilal,1.0,65.0,65.0
286,Mohammed Al-Owais,1.sa Al-Ula,3.0,270.0,90.0
287,Mohammed Abu Al-Shamat,1.sa Al-Qadsiah,3.0,136.0,45.333333333333336
289,Hassan Al Tambakti,1.sa Al-Hilal,3.0,212.0,70.66666666666667
292,Rodrigo Aguirre,1.mx América,1.0,1.0,1.0
293,Maxi Araújo,1.pt Sporting CP,3.0,250.0,83.33333333333333
296,Rodrigo Bentancur,1.eng Tottenham,3.0,270.0,90.0
298,Sebastián Cáceres,1.mx América,3.0,270.0,90.0
299,Agustín Canobbio,1.br Fluminense,3.0,224.0,74.66666666666667
300,Nicolás De La Cruz,1.br Flamengo,3.0,86.0,28.666666666666668
301,Juan Manuel Sanabria,1.mx Atlético San Luis,3.0,204.0,68.0
305,Fernando Muslera,1.tr Galatasaray,3.0,225.0,75.0
306,Darwin Núñez,1.sa Al-Hilal,3.0,156.0,52.0
307,Mathías Olivera,1.it Napoli,3.0,270.0,90.0
310,Sergio Rochet,1.br Internacional,1.0,45.0,45.0
311,Brian Rodríguez,1.mx América,3.0,41.0,13.666666666666666
312,Manuel Ugarte,1.eng Manchester Utd,3.0,184.0,61.333333333333336
313,Federico Valverde,1.es Real Madrid,3.0,236.0,78.66666666666667
314,Guillermo Varela,1.br Flamengo,3.0,270.0,90.0
315,Matías Viña,1.br Flamengo,1.0,45.0,45.0
316,Federico Viñas,1.es Oviedo,3.0,192.0,64.0
318,Ché Adams,1.it Torino,3.0,145.0,48.333333333333336
319,Ryan Christie,1.eng Bournemouth,3.0,95.0,31.666666666666668
320,Findlay Curtis,1.sct Kilmarnock,2.0,9.0,4.5
321,Lyndon Dykes,2.eng Charlton Athletic,2.0,36.0,18.0
322,Lewis Ferguson,1.it Bologna,3.0,270.0,90.0
324,Ben Gannon-Doak,1.eng Bournemouth,3.0,186.0,62.0
327,Angus Gunn,1.eng Nottingham,3.0,270.0,90.0
328,Grant Hanley,1.sct Hibernian,2.0,180.0,90.0
329,Jack Hendry,1.sa Al-Ettifaq,3.0,270.0,90.0
330,Aaron Hickey,1.eng Brentford,1.0,74.0,74.0
334,John McGinn,1.eng Aston Villa,3.0,259.0,86.33333333333333
335,Scott McKenna,1.hr Dinamo Zagreb,1.0,90.0,90.0
336,Kenny McLean,2.eng Norwich City,3.0,118.0,39.333333333333336
337,Scott McTominay,1.it Napoli,3.0,270.0,90.0
