Rk,Player,Sh,SoT,SoT%,Club
456,Park Jinseob,1,1,100,1.cn Zhejiang
457,Ruslanbek Jiyanov,0,0,,1.uz Navbahor
458,Alistair Johnston,5,2,40,1.sct Celtic
459,Frenkie de Jong,1,0,0,1.es Barcelona
460,Lenny Joseph,2,0,0,1.hu Ferencv†ros
461,Edmilson Junior,3,2,66.7,1.qa Al Duhail SC
462,Vinicius J£nior,17,11,64.7,1.es Real Madrid
463,Elijah Just,7,5,71.4,1.sct Motherwell
464,Musab Al Juwayr,0,0,,1.sa Al-Qadsiah
465,Ayoub El Kaabi,3,2,66.7,1.gr Olympiacos
466,Ozan Kabak,0,0,,1.de Hoffenheim
467,Ferdi Kadioglu,1,0,0,1.eng Brighton
468,Kaku,0,0,,1.ae Al Ain
469,Sa?a Kalajd?i?,4,1,25,1.at LASK
470,GÇdÇon Kalulu,0,0,,1.cy Aris Limassol
471,Daichi Kamada,3,2,66.7,1.eng Crystal Palace
472,Hossein Kanaanizadegan,1,1,100,1.ir Persepolis
473,Harry Kane,23,12,52.2,1.de Bayern Munich
474,Lee Kang-in,4,1,25,1.fr PSG
475,Mohamed Kanno,3,2,66.7,1.sa Al-Hilal
476,Steve Kapuadi,1,0,0,1.pl Widzew ?¢d?
477,Bekhruz Karimov,2,0,0,1.uz FC Surkhon
478,Jesper Karlstrîm,1,0,0,1.it Udinese
479,Gervane Kastaneer,1,0,0,1.my Terengganu City
480,Nikola Kati?,2,0,0,2.de Schalke 04
481,Edo Kayembe,2,1,50,2.eng Watford
482,Joris Kayembe,1,0,0,1.be Genk
483,Franck KessiÇ,4,2,50,1.sa Al-Ahli
484,Abdullah Al-Khaibari,1,0,0,1.sa Al-Nassr
485,Shoja' Khalilzadeh,2,0,0,1.ir Tractor
